site_sheet,location_name,location_id,latitude,longitude
Morwell East_10017,Morwell East,10017,-38.229393,146.424454
Mooroolbark_10136,Mooroolbark,10136,-37.7749672,145.3285
Altona North_10006,Altona North,10006,-37.84455,144.8629
Dandenong_10022,Dandenong,10022,-37.98576,145.1987
Point Cook_10005,Point Cook,10005,-37.9263153,144.7567
Geelong South_10107,Geelong South,10107,-38.17356,144.3703
Traralgon_10011,Traralgon,10011,-38.1942825,146.531464
Alphington_10001,Alphington,10001,-37.7784081,145.0306
Melton_10169,Melton,10169,-37.7064552,144.5669
Melbourne CBD_10239,Melbourne CBD,10239,-37.8073959,144.97
Box Hill_10042,Box Hill,10042,-37.8287277,145.1324
Brighton_10007,Brighton,10007,-37.9135475,144.998
Morwell South_10217,Morwell South,10217,-38.2392921,146.3873
Macleod_10377,Macleod,10377,-37.722477,145.0576
Brooklyn_1112,Brooklyn,1112,-37.8220978,144.8471
